time,close,high,low,open,volumefrom,volumeto
1518524940,0.0358,0.0358,0.0358,0.0358,31393.33,1123.88
1518525000,0.0358,0.0358,0.0358,0.0358,0,0
1518525060,0.0358,0.0358,0.0358,0.0358,0,0
1518525120,0.0359,0.0359,0.0358,0.0358,292.2,10.49
1518525180,0.036,0.036,0.0359,0.0359,63697.44,2293.11
1518525240,0.036,0.0361,0.036,0.036,111061.45,4006.86
1518525300,0.0361,0.0361,0.036,0.036,23285.56,840.61
1518525360,0.0361,0.0361,0.036,0.0361,60344.03,2175.47
1518525420,0.036,0.0362,0.036,0.0361,491183.07,17709.41
1518525480,0.0361,0.0361,0.0358,0.036,361374.01,13014.61
1518525540,0.0359,0.0361,0.0358,0.0361,34527.16,1238.42
1518525600,0.0357,0.0359,0.0357,0.0359,70184.9,2513.12
1518525660,0.0359,0.0359,0.0357,0.0357,107455.51,3857.65
1518525720,0.0359,0.036,0.0359,0.0359,51647.56,1856.71
1518525780,0.0359,0.0359,0.0359,0.0359,5289.84,189.91
1518525840,0.036,0.036,0.0359,0.0359,34316.46,1235.39
1518525900,0.036,0.036,0.036,0.036,45892.28,1652.12
1518525960,0.036,0.0361,0.0359,0.036,40312.62,1451.69
1518526020,0.036,0.036,0.0359,0.036,14764.19,530.66
1518526080,0.0361,0.0361,0.036,0.036,72684.94,2623.93
1518526140,0.0362,0.0362,0.0361,0.0361,32473.42,1175.16
1518526200,0.0362,0.0363,0.0362,0.0362,118218.56,4283.94
1518526260,0.0362,0.0362,0.0361,0.0362,63495.7,2298.29
1518526320,0.0362,0.0362,0.0362,0.0362,41713.41,1510.03
1518526380,0.0362,0.0363,0.0362,0.0362,43138.09,1561.95
1518526440,0.0362,0.0363,0.0362,0.0362,40380.66,1461.9
1518526500,0.0363,0.0364,0.0362,0.0362,182038.55,6604.14
1518526560,0.0362,0.0363,0.0362,0.0363,36466.01,1320.07
1518526620,0.0361,0.0362,0.0361,0.0362,43993.58,1589.44
1518526680,0.0363,0.0363,0.0361,0.0361,340269.95,12340.78
1518526740,0.0363,0.0364,0.0363,0.0363,42631.15,1547.51
1518526800,0.0362,0.0363,0.0362,0.0363,38337.31,1387.81
1518526860,0.0362,0.0362,0.0362,0.0362,2393.46,86.64
1518526920,0.0362,0.0362,0.0361,0.0362,67751.81,2452.5
1518526980,0.0362,0.0362,0.0362,0.0362,26800,970.16
1518527040,0.0361,0.0362,0.0361,0.0362,54430.39,1964.94
1518527100,0.0361,0.0361,0.0361,0.0361,35518.25,1282.21
1518527160,0.0361,0.0361,0.0361,0.0361,135471.54,4890.52
1518527220,0.0361,0.0361,0.0361,0.0361,0,0
1518527280,0.0363,0.0363,0.0361,0.0361,1,0.0363
1518527340,0.0363,0.0365,0.0363,0.0363,395271.86,14396.52
1518527400,0.0363,0.0363,0.0363,0.0363,31032.5,1126.48
1518527460,0.0363,0.0364,0.0363,0.0363,68974.91,2509.21
